id,title,author,age,annotation
skot_dvor,Скотный двор,Джордж Оруэлл,12+,"Все началось с того, что старый хряк Главарь призвал домашний скот восстать против хозяев-эксплуататоров и взять управление фермой в свои лапы. Заманчивая идея, которая была с энтузиазмом подхвачена и с успехом реализована. Отныне все животные равны и трудятся на благо друг друга... Вот только надолго ли?
Острая, пропитанная мудростью притча британского писателя Джорджа Оруэлла (1903-1950). Великолепные образы, хлесткий язык, тонкая сатира... Блестящая интерпретация того, как "всеобщие свобода, равенство, братство" могут исподволь и незаметно перерасти 6 тоталитарный режим и беспредел правящей верхушки."
po_kom_zvonit,По ком звонит колокол,Эрнест Хемингуэй,16+,""По ком звонит колокол" — один из лучших романов Эрнеста Хемингуэя. Эта книга о гражданской войне в Испании. Эта книга о Войне, какая она есть на самом деле — грязная, кровавая, бесчеловечная… Эта книга о любви, мужестве, самопожертвовании, нравственном долге и выборе, ценности каждой человеческой жизни как части единого целого, ибо "никогда не посылай узнать по ком звонит колокол, он звонит и по тебе"…"
otello,Отелло,Уильям Шекспир,12+,"Это история не только о великой любви и трагедии обманутого доверия, но и о конфликте героя, желающего жить по законам истины и справедливости, и общества, безразличного и враждебного к человеческим ценностям.
Бессмертную трагедию прекрасно дополняют работы знаменитых художников: иллюстрации британского живописца Дж. Джилберта, а также фрагменты шедевров мировой живописи."
gamlet,Гамлет,Уильям Шекспир,16+,"Философские и психологические проблемы, над которыми бьется мысль Гамлета - смысл жизни и назначение человека, смерть и бессмертие, порок и преступление, духовная сила и слабость - поднимают читателя до необыкновенного накала переживаний и осознания вечных истин."
anna_karenina,Анна Каренина,Л.Н.Толстой,16+,"В мире, где сильны традиции, где правят предрассудки и непоколебимые стереотипы, где чувства принято держать под контролем, беда тому, кто осмелится послушаться своего сердца. Ведь сердце не знает правил, а итог может оказаться совершенно непредсказуемым. Величайшая история невозможной любви, разрушающей привычные представления об отношениях мужчины и женщины, раскрывается на страницах «Анны Карениной». Роман был многократно экранизирован, роль Анны Карениной сыграли Грета Гарбо, Вивьен Ли и Софи Марсо, - любимые актрисы миллионов. Но только прочтя оригинал, вы сможете сами решить, похожа ли бунтарка Анна хотя бы на одну из них"
ubit_peresmeshnika,Убить пересмешника,Харпер Ли,12+,"История маленького сонного городка на юге Америки, поведанная маленькой девочкой.История ее брата Джима, друга Дилла и ее отца – честного, принципиального адвоката Аттикуса Финча, одного из последних и лучших представителей старой "южной аристократии".История судебного процесса по делу чернокожего парня, обвиненного в насилии над белой девушкой.Но прежде всего – история переломной эпохи, когда ксенофобия, расизм, нетерпимость и ханжество, присущие американскому югу, постепенно уходят в прошлое."
kapital,Капитал,Карл Маркс,12+,"«Капитал» — один из самых широко обсуждаемых и не теряющих актуальности трудов об экономических процессах и принципах функционирования рынка. В книге даны ответы на вопросы о том, что такое теория стоимости, как ресурсы превращаются в товары, каков механизм присвоения капиталистом труда рабочего, каким образом неравенство и классовая борьба могут привести к революции, как преодолеть экономический кризис при неравном доступе к средствам производства. Также в произведении рассматривается вопрос о том, что стоит на пути дальнейшего развития общества, если производство и обмен являются его основными чертами, и как будут меняться правила обмена и способы управления в условиях принципиально нового производства."
velikiy_getsbi,Великий Гэтсби,Фрэнсис Скотт Фицджеральд,16+,"Ликующая, искрометная жажда жизни, стремление к любви, манящей и ускользающей, волнующая погоня за богатством – но вот мечта разбивается под звуки джаза, а вечный праздник оборачивается трагедией. "Великий Гэтсби" - это роман о том, "как растрачиваются иллюзии, которые придают миру такую красочность, что, испытав эту магию, человек становится безразличен к понятию об истинном и ложном"."
sto_let_odinochestva,Сто лет одиночества,Габриэль Гарсиа Маркес,16+,"Странная, поэтичная, причудливая история города Макондо, затерянного где-то в джунглях, – от сотворения до упадка. История рода Буэндиа – семьи, в которой чудеса столь повседневны, что на них даже не обращают внимания. Клан Буэндиа порождает святых и грешников, революционеров, героев и предателей, лихих авантюристов – и женщин, слишком прекрасных для обычной жизни. В нем кипят необычайные страсти – и происходят невероятные события. Однако эти невероятные события снова и снова становятся своеобразным «волшебным зеркалом», сквозь которое читателю является подлинная история Латинской Америки…"
unesennye_vetrom,Унесенные ветром,Маргарет Митчелл,16+,"Великая сага о Гражданской войне в США и о судьбе своенравной и готовой идти по головам Скарлетт О'Хара была впервые опубликована 70 лет назад и не устаревает по сей день. "Унесенные ветром" - единственный роман Маргарет Митчелл, за который она - писательница, эмансипе и защитница прав женщин - получила Пулитцеровскую премию. Эта книга о том, что любовь к жизни бывает важнее любви; потом, когда рывок к выживанию успешно завершен, любовь становится предпочтительнее, но без жизнелюбия умирает и она."
vsadnik_bez_golovy,Всадник без головы,Томас Майн Рид,16+,"«Всадник без головы» — настоящий эталон приключенческой прозы, который прославил английского писателя Майн Рида. Мастерски построенный сюжет, основанный на раскрытии загадочного преступления, совершенного в Техасе в середине XIX столетия, держит читателя в напряжении до последнего.
Странный всадник движется по ночной саванне, наводя ужас на ее обитателей. У всадника нет головы. Кто он? Привидение, дьявол или человек? Участниками расследования этой таинственной истории станут благородный мустангер Морис Джеральд, его возлюбленная Луиза Пойндекстер, старый охотник Зеб Стумп и капитан Кассий Колхаун."
